Timestamp,Addr(h),WrLen,RdLen,Command(h),Write Data(h),FCS(Wr)(h),Read Data(h),FCS(Rd)(h),Information
="14:17:06.795.402.360",="30",="12",="5",="RdEndPointConfig(C1)",="00 03 00 00 00 04 00 CC 81 81 00",="66",="40 00 AF FE FF",="F6",=" ",
="14:17:06.795.688.020",="30",="12",="5",="RdEndPointConfig(C1)",="00 03 00 00 00 04 00 88 21 E0 01",="0A",="40 13 20 00 40",="11",=" ",
="14:17:06.795.980.155",="30",="19",="1",="WrEndPointConfig(C5)",="12 05 00 00 00 05 FF F3 FE 10 00 00 00 1E 00 00 00 25",="89",="40",="C7",=" ",
="14:17:06.796.297.790",="30",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F3 FE 10 00 00 00",="9A",="40 00 00 00 00",="C8",=" ",
="14:17:06.796.606.035",="30",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F3 FE 04 00 00 00",="A5",="40 01 00 00 80",="57",=" ",
="14:17:06.796.926.150",="30",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F3 FE 20 00 00 00",="33",="40 09 00 00 00",="6E",=" ",
="14:17:06.797.220.675",="30",="19",="1",="WrEndPointConfig(C5)",="12 05 00 00 00 05 FF F3 FE C0 00 00 00 2B 00 50 E2 3A",="89",="40",="C7",=" ",
="14:17:06.797.519.460",="30",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F3 FE 20 00 00 00",="33",="40 09 00 00 00",="6E",=" ",
="14:17:06.797.812.745",="30",="19",="1",="WrEndPointConfig(C5)",="12 05 00 00 00 05 FF F3 FE C0 00 00 00 04 83 02 00 16",="89",="40",="C7",=" ",
="14:17:06.798.109.330",="30",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F3 FE 20 00 00 00",="33",="40 1B 00 00 00",="25",=" ",
="14:17:06.798.407.880",="30",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F3 FE C4 00 00 00",="0F",="40 02 00 00 05",="FF",=" ",
="14:17:06.798.704.300",="30",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F3 FE 20 00 00 00",="33",="40 0B 00 00 00",="42",=" ",
="14:17:06.799.005.455",="30",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F3 FE C8 00 00 00",="E7",="40 23 47 00 00",="AC",=" ",
="14:17:06.799.307.575",="30",="17",="1",="WrEndPointConfig(C5)",="00 03 00 00 00 04 00 C8 21 E0 01 13 20 00 00 95",="89",="40",="C7",=" ",
