Timestamp,Addr(h),WrLen,RdLen,Command(h),Write Data(h),FCS(Wr)(h),Read Data(h),FCS(Rd)(h),Information
15:47:44.217.412.415,06,1,192,B8, ,22 (Error),40 A0 00 00 00 BF FE 7F C4 00 00 00 06 68 01 20, , 
15:47:44.227.657.445,00,2, , , , , , , 
15:47:44.237.745.525,30,14,5,RdEndPointConfig(C1),12 05 00 00 00 05 FF F3 FE 20 00 00 00,33,40, , 
15:47:44.237.911.820,08,0, , , , , , , 
15:47:44.237.941.395,06,2,32,38,A0,00 (Error),60 00 00 00 80 19 04 3C 00 38 23 00 00 18, , 
15:47:44.248.246.135,A0, , , , , , , , 
15:47:44.253.337.970,30,12,5,RdEndPointConfig(C1),00 03 00 00 00 04 00 A0 81 81 00,D5 (Error),A0 0F, , 
15:47:44.253.507.245,8C, , , , , , , , 
15:47:44.253.571.630,30,12,5,RdEndPointConfig(C1),00 03 00 00 00 04 00 CC 81 81 00,66,40 00, , 
15:47:44.253.818.920,30,12,5,RdEndPointConfig(C1),00 03 00 00 00 04, , , , 
15:47:44.253.905.570,08, , , , , , , , 
15:47:44.253.916.790,10, , , , , , , , 
15:47:44.253.931.070,00, , , , , , , , 
15:47:44.253.951.470,81, , , , , , , , 
15:47:44.253.962.690,21, , , , , , , , 
15:47:44.253.973.910,00, , , , , , , , 
15:47:44.254.066.845,30,14,5,RdEndPointConfig(C1),12 05 00 00 00 05 FF F3 FE 04 00 00 00,A4 (Error), , , 
15:47:44.254.218.855,00,32,0, , , , , , 
15:47:44.254.250.475,02, , , , , , , , 
15:47:44.254.335.115,30,14,5,RdEndPointConfig(C1),12 05 00 00 00 05 FF F3 FE 20 00 00 00,09 (Error), , , 
15:47:44.254.487.050,00, , , , , , , , 
15:47:44.254.498.270,81,0,0, , , , , , 
15:47:44.254.530.910,06,2,96,38,A2,40 (Error),A0 00 00 00 BF FE 7F D8 00 00 00 02 60 0A DC 4B B1 28 18, , 
15:47:44.254.853.475,30,14,5,RdEndPointConfig(C1),12 05 00 00 00 05 FF F3 FE 20 00 00 00,31 (Error), , , 
15:47:44.255.004.000,00, , , , , , , , 
15:47:44.255.015.110,80, , , , , , , , 
15:47:44.255.025.210,00,2, , , , , , , 
15:47:44.255.104.510,30,19,1,WrEndPointConfig(C5),12 05 00 00 00 05 FF F3 FE C0 00 00 00 00 C0 20 00 F1,89,40, , 
15:47:44.255.305.485,60, , , , , , , , 
15:47:44.255.367.200,01, , , , , , , , 
15:47:44.255.379.455,0B, , , , , , , , 
15:47:44.255.390.675,11, , , , , , , , 
15:47:44.255.413.115,00,0,0, , ,2F, , , 
15:47:44.255.457.995,FF, , , , , , , , 
15:47:44.255.469.220,40,0,0, , ,00, , , 
15:47:44.255.506.955,D0,4,129,00,00, , , , 
15:47:44.255.556.935,06,1,192,B8, ,22 (Error),40 A0 00 00 00 BF FE 7F C4 00 00 00, , 
15:47:44.265.764.535,A8,2,64,80,00,2B (Error), , , 
15:47:44.265.814.515,06,1,192,B8, ,22 (Error),40 A0 00 00 00 BF FE 7F C4 00 00 00 06 68 01 20 40 00 17, , 
15:47:44.286.146.845,30,14,5,RdEndPointConfig(C1),12 05 00 00 00 05 FF F3 FE 20 00 00 00,21 (Error), , , 
15:47:44.286.298.780,00, , , , , , , , 
15:47:44.286.310.000,81,0,0, , , , , , 
15:47:44.286.342.640,06,1,192,B8, ,22 (Error),40 A0 00 00 00 BF FE 7F C4, , 
15:47:44.296.520.985,00,0,0, , ,CD, , , 
15:47:44.296.556.685,00, , , , , , , , 
15:47:44.296.567.905,81,0,0, , ,B8, , , 
15:47:44.306.661.030,30,14,5,RdEndPointConfig(C1),12 05 00 00 00 05 FF F3 FE 20 00 00 00,33,40 09 02 00 00,B8, 
15:47:44.316.922.720,30,14,5,RdEndPointConfig(C1),12 05 00 00 00 05 FF F3 FE 20 00 00 00,33,40 09, , 
15:47:44.317.096.070,00,2, , , , , , , 
15:47:44.317.118.510,06,1,192,B8, ,22 (Error),40 A0 00 00 00 BF FE 7F C4 00 00 00, , 
15:47:44.327.327.445,D0,4,129,00,00, , , , 
15:47:44.327.377.430,06,1,192,B8, ,22 (Error),40 A0 00 00 00 BF FE 7F C4 00 00 00 06 68 01 20 40 00 17, , 
15:47:44.345.218.260,30,5,5,RdPkgConfig(A1),00 0E 0A 00,41,83 00 00 00 00,31, 
15:47:44.355.368.915,30,5,5,RdPkgConfig(A1),01 0E 0A 00,57,40 00 00 00 00,C8, 
15:47:44.355.581.675,30,14,5,RdEndPointConfig(C1),12 05 00 00 00 05 FF F3 FE 20 00 00 00,33,40, , 
15:47:44.355.743.390,81,0,0, , ,B8, , , 
15:47:44.365.987.070,30,17,1,WrEndPointConfig(C5),00 03 00 00 00 04 00 C8 21 E0 01 C2 18 00 00 FE,80 (Error), , , 
15:47:44.366.158.465,A0, , , , , , , , 
15:47:44.371.254.095,30,12,5,RdEndPointConfig(C1),00 03 00 00 00 04 00 A0 81 81 00,DB,40, , 
15:47:44.371.423.375,8A, , , , , , , , 
15:47:44.371.488.425,30,12,5,RdEndPointConfig(C1),00 03 00 00 00 04 00 CC 81 81 00,66,40 00, , 
15:47:44.371.721.485,30,12,5,RdEndPointConfig(C1),00 03 00 00 00 04 00 88 21 E0 01,0A, , , 
15:47:44.371.857.100,0C, , , , , , , , 
15:47:44.371.876.475,00, , , , , , , , 
15:47:44.371.955.270,30,14,5,RdEndPointConfig(C1),12 05 00 00 00 05 FF F3 FE 04 00 00 00,12 (Error),A0 00 80 00 40,2A (Error), 
15:47:44.372.205.170,30,14,5,RdEndPointConfig(C1),12 05 00 00 00 05 FF F3 FE 20 00 00 00,33,40, , 
15:47:44.372.368.400,81,0,0, , ,B8, , , 
15:47:44.372.462.985,30,19,1,WrEndPointConfig(C5),12 05 00 00 00 05 FF F3 FE C0 00 00 00 1B 00 56 E2 ED,88 (Error), , , 
15:47:44.372.655.715,0C, , , , , , , , 
15:47:44.372.720.420,30,14,5,RdEndPointConfig(C1),12 05 00 00 00 05 FF F3 FE 20 00 00 00,33,40 09, , 
15:47:44.372.893.850,00,2, , , , , , , 
15:47:44.372.972.720,30,19,1,WrEndPointConfig(C5),12 05 00 00 00 05 FF F3 FE C0 00 00 00 00 E0 20 00 B2,89,40,C7, 
15:47:44.373.229.340,30,14,5,RdEndPointConfig(C1),12 05 00 00 00 05 FF F3 FE 20 00 00 00,33,40 09 02 00 00, , 
15:47:44.373.423.295,06,1,192,B8, ,22 (Error),40 A0 00 00 00 BF FE 7F C4 00 00 00 06 68 01, , 
15:47:44.383.652.530,08,0,5, , , , , , 
15:47:44.393.787.245,30,14,5,RdEndPointConfig(C1),12 05 00 00 00 05 FF F3 FE 20 00 00 00,33,40 09, , 
15:47:44.393.959.060,00,2, , , , , , , 
15:47:44.404.055.465,30,14,5,RdEndPointConfig(C1),12 05 00 00 00 05 FF F3 FE 20 00 00 00,32 (Error), , , 
15:47:44.404.207.480,00, , , , , , , , 
15:47:44.404.218.700,81,0,0, , ,B8, , , 
15:47:44.414.327.410,30,14,5,RdEndPointConfig(C1),12 05 00 00 00 05 FF F3 FE, , , , 
15:47:44.414.442.620,00,0,0, , , , , , 
15:47:44.414.479.340,00, , , , , , , , 
15:47:44.414.490.560,81,0,0, , , , , , 
15:47:44.414.523.200,06,1,192,B8, ,22 (Error),40 A0 00 00 00 BF FE 7F C4 00 00 00 06, , 
15:47:44.424.745.815,00, , , , , , , , 
